video_id,title,title_parsed,parsed_committee,parsed_date,date_from,has_start_time,start_eastern,actual_start_utc,actual_end_utc,duration_iso,published_at
XxyYmdVyOWA,Senate Education (02/17/2026),yes,Education,2026-02-17,title,yes,2026-02-17 09:13:46,2026-02-17T14:13:46Z,2026-02-17T16:08:11Z,PT1H54M36S,2026-02-18T04:30:44Z
7oNG5eNko_M,Senate Energy and Natural Resources (02/17/2026),yes,Energy and Natural Resources,2026-02-17,title,yes,2026-02-17 08:58:46,2026-02-17T13:58:46Z,2026-02-17T16:49:29Z,PT2H50M56S,2026-02-18T05:03:53Z
merFBcuxa0E,Senate Transportation (02/17/2026),yes,Transportation,2026-02-17,title,yes,2026-02-17 12:58:42,2026-02-17T17:58:42Z,2026-02-17T18:58:11Z,PT59M46S,2026-02-18T07:13:21Z
-wMN7_sV-Xo,Senate Judiciary (02/17/2026),yes,Judiciary,2026-02-17,title,yes,2026-02-17 12:58:46,2026-02-17T17:58:46Z,2026-02-17T20:23:04Z,PT2H24M25S,2026-02-18T08:35:52Z
wWFZ4IRhFvM,Senate Finance (02/17/2026),yes,Finance,2026-02-17,title,yes,2026-02-17 13:14:06,2026-02-17T18:14:06Z,2026-02-17T20:19:10Z,PT2H5M16S,2026-02-18T08:46:25Z
RpbdHbWmQfs,Senate Ways and Means (02/18/2026),yes,Ways and Means,2026-02-18,title,yes,2026-02-18 09:24:22,2026-02-18T14:24:22Z,2026-02-18T15:59:25Z,PT1H35M11S,2026-02-19T04:15:36Z
RAm1z63Ph3E,Senate Executive Departments and Administration (02/18/2026),yes,Executive Departments and Administration,2026-02-18,title,yes,2026-02-18 08:55:46,2026-02-18T13:55:46Z,2026-02-18T16:31:27Z,PT2H35M56S,2026-02-19T05:36:42Z
u892iW4w99k,Senate Health and Human Services (02/18/2026),yes,Health and Human Services,2026-02-18,title,yes,2026-02-18 09:04:06,2026-02-18T14:04:06Z,2026-02-18T17:30:22Z,PT3H26M31S,2026-02-19T06:21:43Z
cby-7L0NaAs,Senate Session (02/19/2026),yes,Session,2026-02-19,title,yes,2026-02-19 09:58:47,2026-02-19T14:58:47Z,2026-02-19T21:08:40Z,PT6H10M4S,2026-02-19T21:23:35Z
jTe-WlrrTSM,Senate Transportation (03/03/2026),yes,Transportation,2026-03-03,title,yes,2026-03-03 12:58:47,2026-03-03T17:58:47Z,2026-03-03T18:10:43Z,PT12M6S,2026-03-03T18:15:18Z
KGYZTzaHbpU,Senate Energy and Natural Resources (03/03/2026),yes,Energy and Natural Resources,2026-03-03,title,yes,2026-03-03 08:59:01,2026-03-03T13:59:01Z,2026-03-03T14:53:22Z,PT54M31S,2026-03-04T03:08:24Z
_dZgG45opjM,Senate Commerce (03/03/2026),yes,Commerce,2026-03-03,title,yes,2026-03-03 10:59:11,2026-03-03T15:59:11Z,2026-03-03T16:25:37Z,PT26M41S,2026-03-04T04:31:33Z
zZ6aVLv6DUg,Senate Election Law and Municipal Affairs (03/03/2026),yes,Election Law and Municipal Affairs,2026-03-03,title,yes,2026-03-03 08:59:06,2026-03-03T13:59:06Z,2026-03-03T16:25:47Z,PT2H26M56S,2026-03-04T05:09:47Z
rUHwdvwSXZs,Senate Education (03/03/2026),yes,Education,2026-03-03,title,yes,2026-03-03 09:13:46,2026-03-03T14:13:46Z,2026-03-03T16:16:16Z,PT2H2M41S,2026-03-04T05:16:52Z
h5BYZ2qZNZQ,Senate Judiciary (03/03/2026),yes,Judiciary,2026-03-03,title,yes,2026-03-03 12:58:47,2026-03-03T17:58:47Z,2026-03-03T20:05:29Z,PT2H6M56S,2026-03-04T08:40:15Z
SvgzqGb46kc,Senate Finance (03/03/2026),yes,Finance,2026-03-03,title,yes,2026-03-03 13:28:42,2026-03-03T18:28:42Z,2026-03-03T20:26:17Z,PT1H57M46S,2026-03-04T09:38:35Z
jDtl3EkdbOs,Senate Executive Departments and Administration (03/04/2026),yes,Executive Departments and Administration,2026-03-04,title,yes,2026-03-04 08:55:27,2026-03-04T13:55:27Z,2026-03-04T15:32:01Z,PT1H36M41S,2026-03-05T04:34:08Z
1YhZwqrWJDE,Senate Health and Human Services (03/04/2026),yes,Health and Human Services,2026-03-04,title,yes,2026-03-04 08:55:02,2026-03-04T13:55:02Z,2026-03-04T16:19:45Z,PT2H24M46S,2026-03-05T04:59:11Z
XJsE-D96t2w,Senate Session (03/05/2026),yes,Session,2026-03-05,title,yes,2026-03-05 09:58:26,2026-03-05T14:58:26Z,2026-03-05T20:26:26Z,PT5H27M58S,2026-03-05T20:38:41Z
zB4coiO0k5I,Senate Commerce (03/10/2026),yes,Commerce,2026-03-10,title,yes,2026-03-10 09:28:46,2026-03-10T13:28:46Z,2026-03-10T14:05:05Z,PT36M31S,2026-03-11T02:08:24Z
CHCJU0R5I_I,Senate Election Law and Municipal Affairs (03/10/2026),yes,Election Law and Municipal Affairs,2026-03-10,title,yes,2026-03-10 08:58:47,2026-03-10T12:58:47Z,2026-03-10T14:46:17Z,PT1H47M46S,2026-03-11T02:59:15Z
K5qOYNyZjuk,Senate Energy and Natural Resources (03/10/2026),yes,Energy and Natural Resources,2026-03-10,title,yes,2026-03-10 08:58:47,2026-03-10T12:58:47Z,2026-03-10T15:34:14Z,PT2H35M41S,2026-03-11T04:03:48Z
kh2BW4ZUweM,Senate Education (03/10/2026),yes,Education,2026-03-10,title,yes,2026-03-10 09:13:42,2026-03-10T13:13:42Z,2026-03-10T16:16:44Z,PT3H3M2S,2026-03-11T04:50:32Z
Rr1APjFEnjI,Senate Finance (03/10/2026),yes,Finance,2026-03-10,title,yes,2026-03-10 13:24:01,2026-03-10T17:24:01Z,2026-03-10T18:22:52Z,PT59M6S,2026-03-11T06:31:43Z
cZ16SjBXaIs,Senate Judiciary (03/10/2026),yes,Judiciary,2026-03-10,title,yes,2026-03-10 12:58:46,2026-03-10T16:58:46Z,2026-03-10T18:31:28Z,PT1H32M51S,2026-03-11T06:37:10Z
